"target_id","pval","qval","test_stat","rss","degrees_free","mean_obs","var_obs","tech_var","sigma_sq","smooth_sigma_sq","final_sigma_sq"
"TCONS_00064564",2.12977522449539e-07,0.000974159187684192,26.9115931919412,127.908866968933,1,6.98202520066325,25.5817733937865,0.435279198253004,25.1464941955335,0.496033067437256,25.1464941955335
"TCONS_00027860",7.68757656597718e-07,0.00175814876063898,24.434594757465,75.1132253723141,1,6.075591099503,15.0226450744628,0.0400677156122927,14.9825773588505,0.585631629404415,14.9825773588505
"TCONS_00013730",5.36306327248691e-06,0.00817688380278504,20.7030455807538,93.9849410974941,1,3.2540052051749,18.7969882194988,0.00160096220098498,18.7953872572978,1.93875501810041,18.7953872572978
"TCONS_00000017",1.5745255816899e-05,0.018004700026624,18.6450861272381,24.1648074681301,1,7.51979547247088,4.83296149362601,0.00176646571731717,4.8311950279087,0.473813857974078,4.8311950279087
"TCONS_00058276",2.27154451309725e-05,0.0207800892058136,17.9468968776297,57.1582792787524,1,3.62293555169456,11.4316558557505,0.11894956510932,11.3127062906412,1.58000074730782,11.3127062906412
"TCONS_00000037",3.97052223954054e-05,0.0212497173103961,16.8854285297539,67.1161353113588,1,2.64017657323807,13.4232270622718,0.00340802842272232,13.419819033849,2.40343192194525,13.419819033849
"TCONS_00000059",4.6260779913607e-05,0.0212497173103961,16.5954948663207,81.9705142005966,1,2.91726647312765,16.3941028401193,0.0384603840362399,16.3556424560831,2.23256945796564,16.3556424560831
"TCONS_00000148",7.68084062457039e-05,0.0212497173103961,15.6352728821443,18.0456799970285,1,10.3429960708445,3.60913599940569,0.000637733625286444,3.6084982657804,0.662777371526723,3.6084982657804
"TCONS_00001889",2.96294187118534e-05,0.0212497173103961,17.4414484725124,21.4622270078098,1,5.92230480705169,4.29244540156197,0.0198712966838931,4.27257410487807,0.608855326247302,4.27257410487807
"TCONS_00007159",6.56011970176066e-05,0.0212497173103961,15.9336726995997,11.7647056519361,1,6.00971546898136,2.35294113038721,0.00402875345400517,2.34891237693321,0.595279077443749,2.34891237693321
"TCONS_00013530",7.48947741295815e-05,0.0212497173103961,15.6829881596897,55.9453527281601,1,2.35708004317139,11.189070545632,0.0042035598247138,11.1848669858073,2.46357275030595,11.1848669858073
"TCONS_00044219",5.24074202961763e-05,0.0212497173103961,16.3589740620999,9.95865545849218,1,8.0825248658741,1.99173109169843,0.0004041167762707,1.99132697492217,0.470717729109179,1.99132697492217
"TCONS_00049492",6.40893280660197e-05,0.0212497173103961,15.9778091773169,61.5742981772999,1,2.51539290593578,12.31485963546,0.0627736615226293,12.2520859739374,2.45460023013902,12.2520859739374
"TCONS_00053424",7.89779611448915e-05,0.0212497173103961,15.582601994867,28.1830513260822,1,10.2075620378173,5.63661026521644,0.00817163492613188,5.6284386302903,0.640537350982543,5.6284386302903
"TCONS_00062875",5.72801607221185e-05,0.0212497173103961,16.1905164130283,29.8421589909342,1,4.82902182887341,5.96843179818684,0.129760229011805,5.83867156917503,0.873868416271598,5.83867156917503
"TCONS_00072572",4.1237695924769e-05,0.0212497173103961,16.8135547397263,36.7485732427798,1,6.17489800573983,7.34971464855595,0.0120303469895893,7.33768430156637,0.571996570769234,7.33768430156637
